Year,Ethnic group,Area,Sex,Age group,Value,Flags
"2018","Total people","Timaru District","Male","Less than one year",255,
"2018","Total people","Timaru District","Female","120 years and over",0,
"2018","Total people","Timaru District","Male","120 years and over",0,
"2018","Total people","Timaru District","Male","119 years",0,
"2018","Total people","Timaru District","Female","One year",243,
"2018","Total people","Timaru District","Female","Less than one year",234,
"2018","Total people","Timaru District","Female","Three years",264,
"2018","Total people","Timaru District","Female","Two years",249,
"2018","Total people","Timaru District","Male","Two years",258,
"2018","Total people","Timaru District","Male","One year",282,
"2018","Total people","Timaru District","Female","Five years",276,
"2018","Total people","Timaru District","Female","Four years",237,
"2018","Total people","Timaru District","Male","Four years",288,
"2018","Total people","Timaru District","Male","Three years",264,
"2018","Total people","Timaru District","Female","Seven years",270,
"2018","Total people","Timaru District","Female","Six years",258,
"2018","Total people","Timaru District","Male","Six years",297,
"2018","Total people","Timaru District","Male","Five years",294,
"2018","Total people","Timaru District","Female","Nine years",267,
"2018","Total people","Timaru District","Female","Eight years",285,
"2018","Total people","Timaru District","Male","Eight years",312,
"2018","Total people","Timaru District","Male","Seven years",312,
"2018","Total people","Timaru District","Female","11 years",282,
"2018","Total people","Timaru District","Female","10 years",303,
"2018","Total people","Timaru District","Male","10 years",318,
"2018","Total people","Timaru District","Male","Nine years",318,
"2018","Total people","Timaru District","Female","13 years",258,
"2018","Total people","Timaru District","Female","12 years",255,
"2018","Total people","Timaru District","Male","12 years",303,
"2018","Total people","Timaru District","Male","11 years",294,
"2018","Total people","Timaru District","Female","15 years",276,
"2018","Total people","Timaru District","Female","14 years",285,
"2018","Total people","Timaru District","Male","14 years",282,
"2018","Total people","Timaru District","Male","13 years",246,
"2018","Total people","Timaru District","Female","17 years",276,
"2018","Total people","Timaru District","Female","16 years",276,
"2018","Total people","Timaru District","Male","16 years",303,
"2018","Total people","Timaru District","Male","15 years",288,
"2018","Total people","Timaru District","Female","19 years",183,
"2018","Total people","Timaru District","Female","18 years",228,
"2018","Total people","Timaru District","Male","18 years",252,
"2018","Total people","Timaru District","Male","17 years",282,
"2018","Total people","Timaru District","Female","21 years",192,
"2018","Total people","Timaru District","Female","20 years",156,
"2018","Total people","Timaru District","Male","20 years",228,
"2018","Total people","Timaru District","Male","19 years",243,
"2018","Total people","Timaru District","Female","23 years",243,
"2018","Total people","Timaru District","Female","22 years",207,
"2018","Total people","Timaru District","Male","22 years",231,
"2018","Total people","Timaru District","Male","21 years",216,
"2018","Total people","Timaru District","Female","25 years",249,
"2018","Total people","Timaru District","Female","24 years",222,
"2018","Total people","Timaru District","Male","24 years",294,
"2018","Total people","Timaru District","Male","23 years",258,
"2018","Total people","Timaru District","Female","27 years",294,
"2018","Total people","Timaru District","Female","26 years",249,
"2018","Total people","Timaru District","Male","26 years",243,
"2018","Total people","Timaru District","Male","25 years",291,
"2018","Total people","Timaru District","Female","29 years",303,
"2018","Total people","Timaru District","Female","28 years",294,
"2018","Total people","Timaru District","Male","28 years",261,
"2018","Total people","Timaru District","Male","27 years",309,
"2018","Total people","Timaru District","Female","31 years",228,
"2018","Total people","Timaru District","Female","30 years",249,
"2018","Total people","Timaru District","Male","30 years",273,
"2018","Total people","Timaru District","Male","29 years",249,
"2018","Total people","Timaru District","Female","33 years",252,
"2018","Total people","Timaru District","Female","32 years",246,
"2018","Total people","Timaru District","Male","32 years",258,
"2018","Total people","Timaru District","Male","31 years",264,
"2018","Total people","Timaru District","Female","35 years",207,
"2018","Total people","Timaru District","Female","34 years",240,
"2018","Total people","Timaru District","Male","34 years",219,
"2018","Total people","Timaru District","Male","33 years",228,
"2018","Total people","Timaru District","Female","37 years",225,
"2018","Total people","Timaru District","Female","36 years",243,
"2018","Total people","Timaru District","Male","36 years",231,
"2018","Total people","Timaru District","Male","35 years",234,
"2018","Total people","Timaru District","Female","39 years",246,
"2018","Total people","Timaru District","Female","38 years",255,
"2018","Total people","Timaru District","Male","38 years",240,
"2018","Total people","Timaru District","Male","37 years",216,
"2018","Total people","Timaru District","Female","41 years",246,
"2018","Total people","Timaru District","Female","40 years",246,
"2018","Total people","Timaru District","Male","40 years",231,
"2018","Total people","Timaru District","Male","39 years",228,
"2018","Total people","Timaru District","Female","43 years",297,
"2018","Total people","Timaru District","Female","42 years",273,
"2018","Total people","Timaru District","Male","42 years",261,
"2018","Total people","Timaru District","Male","41 years",258,
"2018","Total people","Timaru District","Female","45 years",318,
"2018","Total people","Timaru District","Female","44 years",312,
"2018","Total people","Timaru District","Male","44 years",264,
"2018","Total people","Timaru District","Male","43 years",246,
"2018","Total people","Timaru District","Female","47 years",309,
"2018","Total people","Timaru District","Female","46 years",324,
"2018","Total people","Timaru District","Male","46 years",297,
"2018","Total people","Timaru District","Male","45 years",309,
"2018","Total people","Timaru District","Female","49 years",315,
"2018","Total people","Timaru District","Female","48 years",336,
"2018","Total people","Timaru District","Male","48 years",288,
"2018","Total people","Timaru District","Male","47 years",300,
"2018","Total people","Timaru District","Female","51 years",336,
"2018","Total people","Timaru District","Female","50 years",330,
"2018","Total people","Timaru District","Male","50 years",300,
"2018","Total people","Timaru District","Male","49 years",291,
"2018","Total people","Timaru District","Female","53 years",363,
"2018","Total people","Timaru District","Female","52 years",345,
"2018","Total people","Timaru District","Male","52 years",312,
"2018","Total people","Timaru District","Male","51 years",285,
"2018","Total people","Timaru District","Female","55 years",366,
"2018","Total people","Timaru District","Female","54 years",348,
"2018","Total people","Timaru District","Male","54 years",336,
"2018","Total people","Timaru District","Male","53 years",291,
"2018","Total people","Timaru District","Female","57 years",369,
"2018","Total people","Timaru District","Female","56 years",366,
"2018","Total people","Timaru District","Male","56 years",351,
"2018","Total people","Timaru District","Male","55 years",345,
"2018","Total people","Timaru District","Female","59 years",339,
"2018","Total people","Timaru District","Female","58 years",330,
"2018","Total people","Timaru District","Male","58 years",339,
"2018","Total people","Timaru District","Male","57 years",351,
"2018","Total people","Timaru District","Female","61 years",303,
"2018","Total people","Timaru District","Female","60 years",345,
"2018","Total people","Timaru District","Male","60 years",315,
"2018","Total people","Timaru District","Male","59 years",330,
"2018","Total people","Timaru District","Female","63 years",288,
"2018","Total people","Timaru District","Female","62 years",312,
"2018","Total people","Timaru District","Male","62 years",291,
"2018","Total people","Timaru District","Male","61 years",303,
"2018","Total people","Timaru District","Female","65 years",333,
"2018","Total people","Timaru District","Female","64 years",294,
"2018","Total people","Timaru District","Male","64 years",285,
"2018","Total people","Timaru District","Male","63 years",330,
"2018","Total people","Timaru District","Female","67 years",315,
"2018","Total people","Timaru District","Female","66 years",309,
"2018","Total people","Timaru District","Male","66 years",306,
"2018","Total people","Timaru District","Male","65 years",300,
"2018","Total people","Timaru District","Female","69 years",327,
"2018","Total people","Timaru District","Female","68 years",303,
"2018","Total people","Timaru District","Male","68 years",294,
"2018","Total people","Timaru District","Male","67 years",297,
"2018","Total people","Timaru District","Female","71 years",285,
"2018","Total people","Timaru District","Female","70 years",303,
"2018","Total people","Timaru District","Male","70 years",279,
"2018","Total people","Timaru District","Male","69 years",282,
"2018","Total people","Timaru District","Female","73 years",231,
"2018","Total people","Timaru District","Female","72 years",243,
"2018","Total people","Timaru District","Male","72 years",204,
"2018","Total people","Timaru District","Male","71 years",297,
"2018","Total people","Timaru District","Female","75 years",183,
"2018","Total people","Timaru District","Female","74 years",219,
"2018","Total people","Timaru District","Male","74 years",207,
"2018","Total people","Timaru District","Male","73 years",213,
"2018","Total people","Timaru District","Female","77 years",219,
"2018","Total people","Timaru District","Female","76 years",234,
"2018","Total people","Timaru District","Male","76 years",207,
"2018","Total people","Timaru District","Male","75 years",195,
"2018","Total people","Timaru District","Female","79 years",180,
"2018","Total people","Timaru District","Female","78 years",210,
"2018","Total people","Timaru District","Male","78 years",150,
"2018","Total people","Timaru District","Male","77 years",183,
"2018","Total people","Timaru District","Female","81 years",174,
"2018","Total people","Timaru District","Female","80 years",159,
"2018","Total people","Timaru District","Male","80 years",117,
"2018","Total people","Timaru District","Male","79 years",156,
"2018","Total people","Timaru District","Female","83 years",135,
"2018","Total people","Timaru District","Female","82 years",171,
"2018","Total people","Timaru District","Male","82 years",129,
"2018","Total people","Timaru District","Male","81 years",111,
"2018","Total people","Timaru District","Female","85 years",105,
"2018","Total people","Timaru District","Female","84 years",129,
"2018","Total people","Timaru District","Male","84 years",96,
"2018","Total people","Timaru District","Male","83 years",126,
"2018","Total people","Timaru District","Female","87 years",102,
"2018","Total people","Timaru District","Female","86 years",105,
"2018","Total people","Timaru District","Male","86 years",78,
"2018","Total people","Timaru District","Male","85 years",93,
"2018","Total people","Timaru District","Female","89 years",66,
"2018","Total people","Timaru District","Female","88 years",99,
"2018","Total people","Timaru District","Male","88 years",54,
"2018","Total people","Timaru District","Male","87 years",75,
"2018","Total people","Timaru District","Female","91 years",54,
"2018","Total people","Timaru District","Female","90 years",72,
"2018","Total people","Timaru District","Male","90 years",51,
"2018","Total people","Timaru District","Male","89 years",54,
"2018","Total people","Timaru District","Female","93 years",54,
"2018","Total people","Timaru District","Female","92 years",45,
"2018","Total people","Timaru District","Male","92 years",18,
"2018","Total people","Timaru District","Male","91 years",27,
"2018","Total people","Timaru District","Female","95 years",30,
"2018","Total people","Timaru District","Female","94 years",30,
"2018","Total people","Timaru District","Male","94 years",15,
"2018","Total people","Timaru District","Male","93 years",18,
"2018","Total people","Timaru District","Female","97 years",9,
"2018","Total people","Timaru District","Female","96 years",21,
"2018","Total people","Timaru District","Male","96 years",6,
"2018","Total people","Timaru District","Male","95 years",9,
"2018","Total people","Timaru District","Female","99 years",3,
"2018","Total people","Timaru District","Female","98 years",6,
"2018","Total people","Timaru District","Male","98 years",3,
"2018","Total people","Timaru District","Male","97 years",0,
"2018","Total people","Timaru District","Female","101 years",0,
"2018","Total people","Timaru District","Female","100 years",6,
"2018","Total people","Timaru District","Male","100 years",0,
"2018","Total people","Timaru District","Male","99 years",0,
"2018","Total people","Timaru District","Female","103 years",0,
"2018","Total people","Timaru District","Female","102 years",0,
"2018","Total people","Timaru District","Male","102 years",0,
"2018","Total people","Timaru District","Male","101 years",3,
"2018","Total people","Timaru District","Female","105 years",0,
"2018","Total people","Timaru District","Female","104 years",0,
"2018","Total people","Timaru District","Male","104 years",0,
"2018","Total people","Timaru District","Male","103 years",0,
"2018","Total people","Timaru District","Female","107 years",0,
"2018","Total people","Timaru District","Female","106 years",0,
"2018","Total people","Timaru District","Male","105 years",0,
"2018","Total people","Timaru District","Male","106 years",0,
"2018","Total people","Timaru District","Male","107 years",0,
"2018","Total people","Timaru District","Male","108 years",0,
"2018","Total people","Timaru District","Female","108 years",0,
"2018","Total people","Timaru District","Male","109 years",0,
"2018","Total people","Timaru District","Female","109 years",0,
"2018","Total people","Timaru District","Male","110 years",0,
"2018","Total people","Timaru District","Female","110 years",0,
"2018","Total people","Timaru District","Male","111 years",0,
"2018","Total people","Timaru District","Female","111 years",0,
"2018","Total people","Timaru District","Male","112 years",0,
"2018","Total people","Timaru District","Female","112 years",0,
"2018","Total people","Timaru District","Male","113 years",0,
"2018","Total people","Timaru District","Female","113 years",0,
"2018","Total people","Timaru District","Male","114 years",0,
"2018","Total people","Timaru District","Female","114 years",0,
"2018","Total people","Timaru District","Male","115 years",0,
"2018","Total people","Timaru District","Female","115 years",0,
"2018","Total people","Timaru District","Male","116 years",0,
"2018","Total people","Timaru District","Female","116 years",0,
"2018","Total people","Timaru District","Male","117 years",0,
"2018","Total people","Timaru District","Female","117 years",0,
"2018","Total people","Timaru District","Male","118 years",0,
"2018","Total people","Timaru District","Female","118 years",0,
"2018","Total people","Timaru District","Female","119 years",0,
